age,sex,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
18, Male, Never Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, No,4.318063335,75.04315402
24, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, No,4.255272505,70.47601965
45, Male, Married, White, Some College, Middle Atlantic, Industrial, <=Good, Yes,4.875061263,130.9821774
43, Male, Married, Asian, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.041392685,154.685293
50, Male, Divorced, White, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.318063335,75.04315402
54, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.84509804,127.1157438
44, Male, Married, Other, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,5.133021279,169.528538
30, Male, Never Married, Asian, Some College, Middle Atlantic, Information, <=Good, Yes,4.716003344,111.7208494
41, Male, Never Married, Black, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.77815125,118.8843593
52, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.857332496,128.6804882
45, Male, Divorced, White, Some College, Middle Atlantic, Information, <=Good, Yes,4.763427994,117.1468169
34, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.397940009,81.28325328
35, Male, Never Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.494154594,89.49247952
39, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.903089987,134.7053751
54, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.903089987,134.7053751
51, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.505149978,90.48191336
37, Male, Never Married, Asian, College Grad, Middle Atlantic, Industrial, >=Very Good, No,4.414973348,82.6796373
50, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, No,5.360551762,212.8423523
56, Male, Married, White, College Grad, Middle Atlantic, Industrial, <=Good, Yes,4.861026342,129.156693
37, Male, Never Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.591064607,98.59934386
38, Male, Married, Asian, College Grad, Middle Atlantic, Information, >=Very Good, No,5.301029996,200.5432623
40, Male, Divorced, White, HS Grad, Middle Atlantic, Information, >=Very Good, No,3.920123326,50.40666086
75, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.447158031,85.38394038
40, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, No,5.079181246,160.6424754
38, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.544068044,94.07271475
49, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.626186335,277.6014175
43, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.431363764,84.04595765
34, Male, Married, Other, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.176091259,65.11085372
57, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.755874856,116.2653241
18, Male, Never Married, Black, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.255272505,70.47601965
55, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.276461804,195.676308
51, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.619093331,101.4020523
33, Male, Never Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, No,4.397940009,81.28325328
34, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.716003344,111.7208494
36, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.498475968,89.88004678
56, Male, Never Married, White, Advanced Degree, Middle Atlantic, Information, <=Good, Yes,4.477121255,87.98103279
70, Male, Never Married, White, College Grad, Middle Atlantic, Industrial, <=Good, Yes,4.477121255,87.98103279
25, Male, Never Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.643452676,103.9024706
32, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,4.662757832,105.9278108
27, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.193124598,66.22940829
28, Male, Married, Asian, College Grad, Middle Atlantic, Industrial, >=Very Good, No,3.544068044,34.60741773
27, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.698970004,109.8339856
43, Male, Never Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, No,3.812913357,45.28216999
50, Male, Never Married, Other, < HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.301029996,73.77574327
39, Male, Married, Black, HS Grad, Middle Atlantic, Information, >=Very Good, No,4.397940009,81.28325328
52, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, Yes,5.041392685,154.685293
35, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,5.590617833,267.9010869
57, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.176091259,176.9896505
25, Male, Never Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.193124598,66.22940829
33, Male, Never Married, White, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.755874856,116.2653241
57, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, No,5.301029996,200.5432623
71, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.62324929,101.8243521
43, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,5.606885241,272.2947832
23, Male, Never Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,3.556302501,35.03342132
30, Male, Never Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.740362689,114.4757133
